买入日期,买入价格,卖出日期,卖出价格,数量,利润率%,卖出原因,买入_cci_40,买入_sma_40,卖出_cci_40,卖出_sma_40
2023-03-13,24113.48,2023-05-08,27668.79,0.4147058,14.7441,SIGNAL,41.2593,22901.7293,-81.8773,28766.855
2023-06-20,28307.99,2023-07-31,29232.25,0.40534166,3.2650,SIGNAL,155.9487,26749.6463,-136.2701,30129.6085
2023-09-27,26372.99,2024-01-14,41732.35,0.44928727,58.2390,SIGNAL,34.4252,26266.971,-83.9148,43405.4547
2024-02-02,43200,2024-02-03,43011.09,0.43402347,-0.4373,SIGNAL,13.7342,42885.814,14.9196,42871.688
2024-02-06,43098.95,2024-04-13,63924.51,0.43313868,48.3203,SIGNAL,11.1171,42868.9128,-135.0617,68250.0832
2024-05-20,71446.62,2024-05-23,67969.65,0.38753657,-4.8665,STOP_LOSS,210.0151,63949.114,136.9998,64105.0477
2024-07-21,68165.34,2024-07-22,67532.01,0.38642402,-0.9291,SIGNAL,111.1748,62413.1128,114.3254,62394.8132
2024-07-26,67907.99,2024-07-31,64628,0.38428454,-4.8301,STOP_LOSS,110.9122,62377.259,58.0205,62579.2465
2024-08-23,64037.24,2024-08-24,64157.01,0.38782967,0.1870,SIGNAL,15.1691,62403.209,33.4588,62389.0307
2024-09-13,60498,2024-09-17,60313.99,0.41128619,-0.3042,SIGNAL,28.1474,58828.4815,26.6635,59098.2825
2024-09-18,61759.99,2024-10-02,60649.28,0.40165666,-1.7984,SIGNAL,75.1424,59121.3325,12.3855,60481.5417
2024-10-06,62819.91,2024-12-30,92792.05,0.38777813,47.7112,SIGNAL,54.5091,60408.807,-134.0793,97889.1793
2025-01-03,98174.18,2025-01-08,95060.61,0.36651926,-3.1715,SIGNAL,4.0009,97652.8093,-85.5667,98075.126
2025-01-15,100497.35,2025-01-25,104746.85,0.34669117,4.2285,SIGNAL,39.2072,97761.6432,123.9912,98418.7312
2025-01-27,102082.83,2025-02-02,97700.59,0.35573865,-4.2928,STOP_LOSS,56.0848,98377.8583,-12.4536,99109.5305
2025-04-18,84474.69,2025-06-19,104658.59,0.41143538,23.8934,SIGNAL,46.7628,83466.8843,-47.8931,106024.4517
2025-06-25,107340.58,2025-06-30,107146.5,0.40115534,-0.1808,SIGNAL,40.8227,106109.2245,49.6318,106237.8805
2025-07-02,108849.6,2025-07-04,107984.24,0.39487872,-0.7950,SIGNAL,72.711,106125.7863,86.5007,106145.8592
2025-07-06,109203.84,2025-08-19,112872.94,0.39046867,3.3599,SIGNAL,112.6125,106121.5842,-153.4145,117431.326
2025-09-11,115482.69,2025-09-16,116788.96,0.38164461,1.1311,SIGNAL,19.1522,114041.8712,46.5213,114129.2845
2025-09-18,117073.53,2025-09-19,115632.38,0.38071695,-1.2310,SIGNAL,66.5401,114138.8877,46.9264,114047.347
2025-09-29,114311.96,2025-10-16,108194.28,0.38511462,-5.3517,STOP_LOSS,23.109,112739.9438,-122.2124,115352.2958
2026-01-02,89995.13,2026-01-11,91013.65,0.46299393,1.1318,SIGNAL,25.8437,89142.881,47.7787,89574.9867
2026-01-13,95414,2026-01-20,88427.66,0.44164135,-7.3221,STOP_LOSS,182.3319,89605.0415,-13.7588,90134.618
2026-03-16,74884.67,2026-03-18,71246.54,0.52151276,-4.8583,STOP_LOSS,217.2552,68507.303,118.4931,68798.9475
2026-03-23,70906.45,2026-03-26,68820.31,0.52401411,-2.9421,SIGNAL,42.2318,68860.0158,15.5193,69004.1282